ime;lat_ime;porodica;list;visina;plod;kora_boja;kora_tekstura;krosnja;link
Pitoma kruška;Pyrus communis;Ruža;pitoma_kruska_list.jpg;do 12 m;pitoma_kruska_plod.jpg;sivosmeða;ploèano ispucana;pitoma_kruska_krosnja.jpg;https://www.plantea.com.hr/kruska/
Hrast cer;Quercus cerris;Bukva;hrast_cer_list.jpg;do 40 m;hrast_cer_plod.jpg;siva;duboko uzdužno i plitko popreèno izbrazdana;hrast_cer_krosnja.jpg;https://www.plantea.com.hr/hrast-cer/
Hrast oštrika;Quercus coccifera;Bukva;hrast_ostrika_list.jpg;od 2 do 6 m;hrast_ostrika_plod.jpg;sivosmeða;tanko i glatko ispucana;hrast_ostrika_krosnja.jpg;https://www.plantea.com.hr/ostrika/
Hrast sladun;Quercus frainetto;Bukva;hrast_sladun_list.jpg;do 25 m;hrast_sladun_plod.jpg;svijetlosiva;uzdužne i popreène pukotine;hrast_sladun_krosnja.jpg;https://www.plantea.com.hr/sladun/
Hrast crnika;Quercus ilex;Bukva;hrast_crnika_list.jpg;do 20 m;hrast_crnika_plod.jpg;siva, tamnosiva;glatka, uzdužno i popreko sitno ispucana;hrast_crnika_krosnja.jpg;https://www.plantea.com.hr/crnika/
Hrast kitnjak;Quercus petraea;Bukva;hrast_kitnjak_list.jpg;do 40 m;hrast_kitnjak_plod.jpg;sivosmeða;plitko uzdužno raspucana;hrast_kitnjak_krosnja.jpg;https://www.plantea.com.hr/hrast-kitnjak/
Hrast medunac;Quercus pubescens;Bukva;hrast_medunac_list.jpg;do 20 m ;hrast_medunac_plod.jpg;tamnosiva;debela i ispucana, s dubokim uzdužnim i popreènim brazdama;hrast_medunac_krosnja.jpg;https://www.plantea.com.hr/hrast-medunac/
Hrast lužnjak;Quercus robur;Bukva;hrast_luznjak_list.jpg;do 40 m;hrast_luznjak_plod.jpg;sivo-zelenkasta, sivosmeða;glatka, uzdužno ispucala dubljim popreèno plitkim brazdama;hrast_luznjak_krosnja.jpg;https://www.plantea.com.hr/hrast-luznjak/
Crveni hrast;"Quercus rubra	";Bukva;cerveni_hrast_list.jpg;do 30 m;cerveni_hrast_plod.jpg;siva;glatka, zadebljana sa plitkim raspuklinama;cerveni_hrast_krosnja.jpg;https://www.plantea.com.hr/crveni-hrast/
Hrast plutnjak;Quercus suber;Bukva;hrast_plutnjak_list.jpg;do 15 m;hrast_plutnjak_plod.jpg;smeða;debela i plutasta;hrast_plutnjak_krosnja.jpg;https://www.plantea.com.hr/hrast-plutnjak/
Obicni bagrem;Robinia pseudoacacia;Mahunarke;obicni_bagrem_list.jpg;do 25 m;obicni_bagrem_plod.jpg;smeða;glatka, duboko uzdužno izbrazdana;obicni_bagrem_krosnja.jpg;https://www.plantea.com.hr/bagrem/
Bijela vrba;Salix alba;Vrba;bijela_vrba_list.jpg;do 20 m;bijela_vrba_plod.jpg;bjelièasta, siva;dlakava, gola i mrežasto ispucala;bijela_vrba_krosnja.jpg;https://www.plantea.com.hr/bijela-vrba/
Vrba iva;Salix caprea;Vrba;vrba_iva_list.jpg;do 12 m;vrba_iva_plod.jpg;zelenkastosiva, tamnosiva;glatka, uzdužno plitko ispucana;vrba_iva_krosnja.jpg;https://www.plantea.com.hr/vrba-iva/
Siva vrba;Salix cinerea;Vrba;siva_vrba_list.jpg;4 do 15 m;siva_vrba_plod.jpg;smeða;dlakava, gola;siva_vrba_krosnja.jpg;https://www.plantea.com.hr/siva-vrba/
Malolisna lipa;Tilia cordata;Lipa;malolisna_lipa_list.jpg;do 25 m;malolisna_lipa_plod.jpg;smeða;glatka, uzdužno izbrazdana;malolisna_lipa_krosnja.jpg;http://hortiholicarke.blogspot.hr/2014/09/tilia-cordata-sitnolisna-lipa.html
Velelisna lipa;Tilia platyphyllos;Lipa;velelisna_lipa_list.jpg;do 30 m;velelisna_lipa_plod.jpg;smeða;glatka, duboko uzdužno izbrazdana;velelisna_lipa_krosnja.jpg;http://hortiholicarke.blogspot.hr/2014/02/tillia-platyphyllos-velelisna-lipa.html
Gorski brijest;Ulmus glabra ;Brijest;gorski_brijest_list.jpg;do 40 m;gorski_brijest_plod.jpg;tamnosiva;glatka, uzdužkrosnja.jpgno izbrazdana;gorski_brijest_krosnja.jpg;https://www.plantea.com.hr/gorski-brijest/
Poljski brijest;Ulmus minor;Brijest;poljski_brijest_list.jpg;do 40 m;poljski_brijest_plod.jpg;crvenkasntosmeða;glatka, duboko izbrazdana;poljski_brijest_krosnja.jpg;https://www.plantea.com.hr/nizinski-brijest/
